city,date,ts,time,expected_high_f,abs_error_f,actual_bucket_probability,modal_bucket,modal_probability,actual_inside_modal,raw_probability_sum
nyc,2026-03-03,1772485200,2026-03-02T21:00:00Z,40.84390243902438,4.843902439024383,0.19999999999999998,41-42F,0.31707317073170727,False,1.0250000000000001
nyc,2026-03-03,1772488800,2026-03-02T22:00:00Z,40.83743842364532,4.837438423645317,0.19704433497536944,41-42F,0.3152709359605911,False,1.0150000000000001
nyc,2026-03-03,1772492400,2026-03-02T23:00:00Z,40.7463768115942,4.746376811594203,0.21739130434782608,41-42F,0.2946859903381643,False,1.035
nyc,2026-03-03,1772496000,2026-03-03T00:00:00Z,40.721393034825866,4.721393034825866,0.1990049751243781,39-40F,0.3233830845771144,False,1.0050000000000001
nyc,2026-03-03,1772499600,2026-03-03T01:00:00Z,40.94444444444444,4.944444444444443,0.18357487922705312,39-40F,0.3043478260869565,False,1.0350000000000001
nyc,2026-03-03,1772503200,2026-03-03T02:00:00Z,40.945544554455445,4.945544554455445,0.17326732673267325,39-40F,0.3118811881188119,False,1.01
nyc,2026-03-03,1772506800,2026-03-03T03:00:00Z,40.897129186602875,4.897129186602875,0.1674641148325359,39-40F,0.3349282296650718,False,1.045
nyc,2026-03-03,1772510400,2026-03-03T04:00:00Z,40.7636815920398,4.763681592039802,0.18407960199004972,39-40F,0.3283582089552239,False,1.0050000000000001
nyc,2026-03-03,1772514000,2026-03-03T05:00:00Z,40.64572864321608,4.645728643216081,0.19597989949748743,39-40F,0.3316582914572864,False,0.9950000000000001
nyc,2026-03-03,1772517600,2026-03-03T06:00:00Z,40.5,4.5,0.21559633027522934,39-40F,0.34862385321100914,False,1.09
nyc,2026-03-03,1772521200,2026-03-03T07:00:00Z,40.41095890410959,4.410958904109592,0.24200913242009134,39-40F,0.3333333333333333,False,1.095
nyc,2026-03-03,1772524800,2026-03-03T08:00:00Z,40.57943925233645,4.579439252336449,0.2289719626168224,39-40F,0.3411214953271028,False,1.07
nyc,2026-03-03,1772528400,2026-03-03T09:00:00Z,40.55188679245283,4.551886792452827,0.2311320754716981,39-40F,0.3443396226415094,False,1.06
